"","dig_code","dig_desc","variable","inv_07"
"46","334220","Broadcast and wireless communications equipment","F06E00","6,710"
"47","334290","Other communications equipment manufacturing","F06E00","41"
"48","334418","Printed circuit assembly (electronic assembly) manufacturing","F06E00",""
"49","33441A","Other electronic component manufacturing","F06E00",""
"50","334510","Electromedical and electrotherapeutic apparatus manufacturing","F06E00","267"
"51","334511","Search, detection, and navigation instruments manufacturing","F06E00","15,194"
"52","334513","Industrial process variable instruments manufacturing","F06E00","2"
"53","334514","Totalizing fluid meter and counting device manufacturing","F06E00",""
"54","334515","Electricity and signal testing instruments manufacturing","F06E00","800"
"55","334516","Analytical laboratory instrument manufacturing","F06E00",""
"56","334517","Irradiation apparatus manufacturing","F06E00","84"
"57","33451A","Watch, clock, and other measuring and controlling device manufacturing","F06E00",""
"58","334300","Audio and video equipment manufacturing","F06E00",""
"59","335120","Lighting fixture manufacturing","F06E00",""
"60","335210","Small electrical appliance manufacturing","F06E00","12"
"61","335221","Household cooking appliance manufacturing","F06E00","6"
"62","335222","Household refrigerator and home freezer manufacturing","F06E00",""
"63","335224","Household laundry equipment manufacturing","F06E00",""
"64","335311","Power, distribution, and specialty transformer manufacturing","F06E00","0"
"65","335312","Motor and generator manufacturing","F06E00","8"
"66","335313","Switchgear and switchboard apparatus manufacturing","F06E00",""
"67","335314","Relay and industrial control manufacturing","F06E00","297"
"68","335920","Communication and energy wire and cable manufacturing","F06E00","8"
"69","335999","All other miscellaneous electrical equipment and component manufacturing","F06E00","358"
"70","336111","Automobile manufacturing","F06E00","4,702"
"71","336112","Light truck and utility vehicle manufacturing","F06E00","5"
"72","336120","Heavy duty truck manufacturing","F06E00","206"
"73","336211","Motor vehicle body manufacturing","F06E00",""
"74","336212","Truck trailer manufacturing","F06E00","250"
"75","336360","Motor vehicle seating and interior trim manufacturing","F06E00",""
"76","336411","Aircraft manufacturing","F06E00","12,953"
"77","336412","Aircraft engine and engine parts manufacturing","F06E00","238"
"78","336414","Guided missile and space vehicle manufacturing","F06E00","3,878"
"79","33641A","Propulsion units and parts for space vehicles and guided missiles","F06E00",""
"80","336500","Railroad rolling stock manufacturing","F06E00","13"
"81","336611","Ship building and repairing","F06E00","7,790"
"82","336612","Boat building","F06E00","179"
"83","336991","Motorcycle, bicycle, and parts manufacturing","F06E00",""
"84","336992","Military armored vehicle, tank, and tank component manufacturing","F06E00","7,177"
"85","336999","All other transportation equipment manufacturing","F06E00","60"
"86","337121","Upholstered household furniture manufacturing","F06E00",""
"87","337122","Nonupholstered wood household furniture manufacturing","F06E00","0"
"88","337127","Institutional furniture manufacturing","F06E00","0"
"89","337215","Showcase, partition, shelving, and locker manufacturing","F06E00","0"
"90","33721A","Office furniture and custom architectural woodwork and millwork manufacturing","F06E00","0"
"91","337900","Other furniture related product manufacturing","F06E00",""
"92","339112","Surgical and medical instrument manufacturing","F06E00","33"
"93","339113","Surgical appliance and supplies manufacturing","F06E00","4"
"94","339114","Dental equipment and supplies manufacturing","F06E00","39"
"95","339920","Sporting and athletic goods manufacturing","F06E00","0"
"96","339940","Office supplies (except paper) manufacturing","F06E00",""
"97","339950","Sign manufacturing","F06E00","0"
"98","339990","All other miscellaneous manufacturing","F06E00","11"
"99","314110","Carpet and rug mills","F06E00",""
"100","314900","Other textile product mills","F06E00",""
"101","326290","Other rubber product manufacturing","F06E00",""
"102","511200","Software publishers","F06E00",""
"103","518200","Data processing, hosting, and related services","F06E00",""
"104","541511","Custom computer programming services","F06E00",""
"105","541512","Computer systems design services","F06E00","1,032"
"106","541700","Scientific research and development services","F06E00",""
"107","S00402","Used and secondhand goods","F06E00","0"
"108","233210","Health care structures","F06N00",""
"109","233262","Educational and vocational structures","F06N00",""
"110","2332A0","Office and commercial structures","F06N00",""
"111","233412","Multifamily residential structures","F06N00",""
"112","2334A0","Other residential structures","F06N00",""
"113","233230","Manufacturing structures","F06N00",""
"114","2332D0","Other nonresidential structures","F06N00",""
"115","233240","Power and communication structures","F06N00",""
"116","233411","Single-family residential structures","F06N00",""
"117","2332C0","Transportation structures and highways and streets","F06N00",""
"118","3219A0","All other wood product manufacturing","F06N00",""
"119","332200","Cutlery and handtool manufacturing","F06N00",""
"120","332310","Plate work and fabricated structural product manufacturing","F06N00",""
"121","332410","Power boiler and heat exchanger manufacturing","F06N00",""
"122","332420","Metal tank (heavy gauge) manufacturing","F06N00",""
"123","332430","Metal can, box, and other metal container (light gauge) manufacturing","F06N00",""
"124","332710","Machine shops","F06N00",""
"125","33291A","Valve and fittings other than plumbing","F06N00",""
"126","332996","Fabricated pipe and pipe fitting manufacturing","F06N00",""
"127","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F06N00",""
"128","332999","Other fabricated metal manufacturing","F06N00",""
"129","333111","Farm machinery and equipment manufacturing","F06N00",""
"130","333112","Lawn and garden equipment manufacturing","F06N00",""
"131","333120","Construction machinery manufacturing","F06N00",""
"132","33329A","Other industrial machinery manufacturing","F06N00",""
"133","333314","Optical instrument and lens manufacturing","F06N00",""
"134","333316","Photographic and photocopying equipment manufacturing","F06N00",""
"135","333318","Other commercial and service industry machinery manufacturing","F06N00",""
"136","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F06N00",""
"137","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F06N00",""
"138","333517","Machine tool manufacturing","F06N00",""
"139","333611","Turbine and turbine generator set units manufacturing","F06N00",""
"140","333618","Other engine equipment manufacturing","F06N00",""
"141","333912","Air and gas compressor manufacturing","F06N00",""
"142","33391A","Pump and pumping equipment manufacturing","F06N00",""
"143","333920","Material handling equipment manufacturing","F06N00",""
"144","333991","Power-driven handtool manufacturing","F06N00",""
"145","333993","Packaging machinery manufacturing","F06N00",""
"146","333994","Industrial process furnace and oven manufacturing","F06N00",""
"147","33399A","Other general purpose machinery manufacturing","F06N00",""
"148","33399B","Fluid power process machinery","F06N00",""
"149","334111","Electronic computer manufacturing","F06N00",""
"150","334112","Computer storage device manufacturing","F06N00",""
"151","334118","Computer terminals and other computer peripheral equipment manufacturing","F06N00",""
"152","334210","Telephone apparatus manufacturing","F06N00",""
"153","334220","Broadcast and wireless communications equipment","F06N00",""
"154","334290","Other communications equipment manufacturing","F06N00",""
"155","334418","Printed circuit assembly (electronic assembly) manufacturing","F06N00",""
"156","33441A","Other electronic component manufacturing","F06N00",""
"157","334510","Electromedical and electrotherapeutic apparatus manufacturing","F06N00",""
"158","334511","Search, detection, and navigation instruments manufacturing","F06N00",""
"159","334513","Industrial process variable instruments manufacturing","F06N00",""
"160","334514","Totalizing fluid meter and counting device manufacturing","F06N00",""
"161","334515","Electricity and signal testing instruments manufacturing","F06N00",""
"162","334516","Analytical laboratory instrument manufacturing","F06N00",""
"163","334517","Irradiation apparatus manufacturing","F06N00",""
"164","33451A","Watch, clock, and other measuring and controlling device manufacturing","F06N00",""
"165","334300","Audio and video equipment manufacturing","F06N00",""
"166","335120","Lighting fixture manufacturing","F06N00",""
"167","335210","Small electrical appliance manufacturing","F06N00",""
"168","335221","Household cooking appliance manufacturing","F06N00",""
"169","335222","Household refrigerator and home freezer manufacturing","F06N00",""
"170","335224","Household laundry equipment manufacturing","F06N00",""
"171","335311","Power, distribution, and specialty transformer manufacturing","F06N00",""
"172","335312","Motor and generator manufacturing","F06N00",""
"173","335313","Switchgear and switchboard apparatus manufacturing","F06N00",""
"174","335314","Relay and industrial control manufacturing","F06N00",""
"175","335920","Communication and energy wire and cable manufacturing","F06N00",""
"176","335999","All other miscellaneous electrical equipment and component manufacturing","F06N00",""
"177","336111","Automobile manufacturing","F06N00",""
"178","336112","Light truck and utility vehicle manufacturing","F06N00",""
"179","336120","Heavy duty truck manufacturing","F06N00",""
"180","336211","Motor vehicle body manufacturing","F06N00",""
"181","336212","Truck trailer manufacturing","F06N00",""
"182","336360","Motor vehicle seating and interior trim manufacturing","F06N00",""
"183","336411","Aircraft manufacturing","F06N00",""
"184","336412","Aircraft engine and engine parts manufacturing","F06N00",""
"185","336414","Guided missile and space vehicle manufacturing","F06N00",""
"186","33641A","Propulsion units and parts for space vehicles and guided missiles","F06N00",""
"187","336500","Railroad rolling stock manufacturing","F06N00",""
"188","336611","Ship building and repairing","F06N00",""
"189","336612","Boat building","F06N00",""
"190","336991","Motorcycle, bicycle, and parts manufacturing","F06N00",""
"191","336992","Military armored vehicle, tank, and tank component manufacturing","F06N00",""
"192","336999","All other transportation equipment manufacturing","F06N00",""
"193","337121","Upholstered household furniture manufacturing","F06N00",""
"194","337122","Nonupholstered wood household furniture manufacturing","F06N00",""
"195","337127","Institutional furniture manufacturing","F06N00",""
"196","337215","Showcase, partition, shelving, and locker manufacturing","F06N00",""
"197","33721A","Office furniture and custom architectural woodwork and millwork manufacturing","F06N00",""
"198","337900","Other furniture related product manufacturing","F06N00",""
"199","339112","Surgical and medical instrument manufacturing","F06N00",""
"200","339113","Surgical appliance and supplies manufacturing","F06N00",""
"201","339114","Dental equipment and supplies manufacturing","F06N00",""
"202","339920","Sporting and athletic goods manufacturing","F06N00",""
"203","339940","Office supplies (except paper) manufacturing","F06N00",""
"204","339950","Sign manufacturing","F06N00",""
"205","339990","All other miscellaneous manufacturing","F06N00",""
"206","314110","Carpet and rug mills","F06N00",""
"207","314900","Other textile product mills","F06N00",""
"208","326290","Other rubber product manufacturing","F06N00",""
"209","511200","Software publishers","F06N00","1,230"
"210","518200","Data processing, hosting, and related services","F06N00","379"
"211","541511","Custom computer programming services","F06N00","5,229"
"212","541512","Computer systems design services","F06N00",""
"213","541700","Scientific research and development services","F06N00","62,523"
"214","S00402","Used and secondhand goods","F06N00",""
"215","233210","Health care structures","F06S00","88"
"216","233262","Educational and vocational structures","F06S00","290"
"217","2332A0","Office and commercial structures","F06S00","2,035"
"218","233412","Multifamily residential structures","F06S00","613"
"219","2334A0","Other residential structures","F06S00","135"
"220","233230","Manufacturing structures","F06S00","1"
"221","2332D0","Other nonresidential structures","F06S00","3,746"
"222","233240","Power and communication structures","F06S00","482"
"223","233411","Single-family residential structures","F06S00","1,998"
"224","2332C0","Transportation structures and highways and streets","F06S00","626"
"225","3219A0","All other wood product manufacturing","F06S00",""
"226","332200","Cutlery and handtool manufacturing","F06S00",""
"227","332310","Plate work and fabricated structural product manufacturing","F06S00",""
"228","332410","Power boiler and heat exchanger manufacturing","F06S00",""
"229","332420","Metal tank (heavy gauge) manufacturing","F06S00",""
"230","332430","Metal can, box, and other metal container (light gauge) manufacturing","F06S00",""
"231","332710","Machine shops","F06S00",""
"232","33291A","Valve and fittings other than plumbing","F06S00",""
"233","332996","Fabricated pipe and pipe fitting manufacturing","F06S00",""
"234","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F06S00",""
"235","332999","Other fabricated metal manufacturing","F06S00",""
"236","333111","Farm machinery and equipment manufacturing","F06S00",""
"237","333112","Lawn and garden equipment manufacturing","F06S00",""
"238","333120","Construction machinery manufacturing","F06S00",""
"239","33329A","Other industrial machinery manufacturing","F06S00",""
"240","333314","Optical instrument and lens manufacturing","F06S00",""
"241","333316","Photographic and photocopying equipment manufacturing","F06S00",""
"242","333318","Other commercial and service industry machinery manufacturing","F06S00",""
"243","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F06S00",""
"244","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F06S00",""
"245","333517","Machine tool manufacturing","F06S00",""
"246","333611","Turbine and turbine generator set units manufacturing","F06S00",""
"247","333618","Other engine equipment manufacturing","F06S00",""
"248","333912","Air and gas compressor manufacturing","F06S00",""
"249","33391A","Pump and pumping equipment manufacturing","F06S00",""
"250","333920","Material handling equipment manufacturing","F06S00",""
"251","333991","Power-driven handtool manufacturing","F06S00",""
"252","333993","Packaging machinery manufacturing","F06S00",""
"253","333994","Industrial process furnace and oven manufacturing","F06S00",""
"254","33399A","Other general purpose machinery manufacturing","F06S00",""
"255","33399B","Fluid power process machinery","F06S00",""
"256","334111","Electronic computer manufacturing","F06S00",""
"257","334112","Computer storage device manufacturing","F06S00",""
"258","334118","Computer terminals and other computer peripheral equipment manufacturing","F06S00",""
"259","334210","Telephone apparatus manufacturing","F06S00",""
"260","334220","Broadcast and wireless communications equipment","F06S00",""
"261","334290","Other communications equipment manufacturing","F06S00",""
"262","334418","Printed circuit assembly (electronic assembly) manufacturing","F06S00",""
"263","33441A","Other electronic component manufacturing","F06S00",""
"264","334510","Electromedical and electrotherapeutic apparatus manufacturing","F06S00",""
"265","334511","Search, detection, and navigation instruments manufacturing","F06S00",""
"266","334513","Industrial process variable instruments manufacturing","F06S00",""
"267","334514","Totalizing fluid meter and counting device manufacturing","F06S00",""
"268","334515","Electricity and signal testing instruments manufacturing","F06S00",""
"269","334516","Analytical laboratory instrument manufacturing","F06S00",""
"270","334517","Irradiation apparatus manufacturing","F06S00",""
"271","33451A","Watch, clock, and other measuring and controlling device manufacturing","F06S00",""
"272","334300","Audio and video equipment manufacturing","F06S00",""
"273","335120","Lighting fixture manufacturing","F06S00",""
"274","335210","Small electrical appliance manufacturing","F06S00",""
"275","335221","Household cooking appliance manufacturing","F06S00",""
"276","335222","Household refrigerator and home freezer manufacturing","F06S00",""
"277","335224","Household laundry equipment manufacturing","F06S00",""
"278","335311","Power, distribution, and specialty transformer manufacturing","F06S00",""
"279","335312","Motor and generator manufacturing","F06S00",""
"280","335313","Switchgear and switchboard apparatus manufacturing","F06S00",""
"281","335314","Relay and industrial control manufacturing","F06S00",""
"282","335920","Communication and energy wire and cable manufacturing","F06S00",""
"283","335999","All other miscellaneous electrical equipment and component manufacturing","F06S00",""
"284","336111","Automobile manufacturing","F06S00",""
"285","336112","Light truck and utility vehicle manufacturing","F06S00",""
"286","336120","Heavy duty truck manufacturing","F06S00",""
"287","336211","Motor vehicle body manufacturing","F06S00",""
"288","336212","Truck trailer manufacturing","F06S00",""
"289","336360","Motor vehicle seating and interior trim manufacturing","F06S00",""
"290","336411","Aircraft manufacturing","F06S00",""
"291","336412","Aircraft engine and engine parts manufacturing","F06S00",""
"292","336414","Guided missile and space vehicle manufacturing","F06S00",""
"293","33641A","Propulsion units and parts for space vehicles and guided missiles","F06S00",""
"294","336500","Railroad rolling stock manufacturing","F06S00",""
"295","336611","Ship building and repairing","F06S00",""
"296","336612","Boat building","F06S00",""
"297","336991","Motorcycle, bicycle, and parts manufacturing","F06S00",""
"298","336992","Military armored vehicle, tank, and tank component manufacturing","F06S00",""
"299","336999","All other transportation equipment manufacturing","F06S00",""
"300","337121","Upholstered household furniture manufacturing","F06S00",""
"301","337122","Nonupholstered wood household furniture manufacturing","F06S00",""
"302","337127","Institutional furniture manufacturing","F06S00",""
"303","337215","Showcase, partition, shelving, and locker manufacturing","F06S00",""
"304","33721A","Office furniture and custom architectural woodwork and millwork manufacturing","F06S00",""
"305","337900","Other furniture related product manufacturing","F06S00",""
"306","339112","Surgical and medical instrument manufacturing","F06S00",""
"307","339113","Surgical appliance and supplies manufacturing","F06S00",""
"308","339114","Dental equipment and supplies manufacturing","F06S00",""
"309","339920","Sporting and athletic goods manufacturing","F06S00",""
"310","339940","Office supplies (except paper) manufacturing","F06S00",""
"311","339950","Sign manufacturing","F06S00",""
"312","339990","All other miscellaneous manufacturing","F06S00",""
"313","314110","Carpet and rug mills","F06S00",""
"314","314900","Other textile product mills","F06S00",""
"315","326290","Other rubber product manufacturing","F06S00",""
"316","511200","Software publishers","F06S00",""
"317","518200","Data processing, hosting, and related services","F06S00",""
"318","541511","Custom computer programming services","F06S00",""
"319","541512","Computer systems design services","F06S00",""
"320","541700","Scientific research and development services","F06S00",""
"321","S00402","Used and secondhand goods","F06S00","-4"
"322","233210","Health care structures","F07E00",""
"323","233262","Educational and vocational structures","F07E00",""
"324","2332A0","Office and commercial structures","F07E00",""
"325","233412","Multifamily residential structures","F07E00",""
"326","2334A0","Other residential structures","F07E00",""
"327","233230","Manufacturing structures","F07E00",""
"328","2332D0","Other nonresidential structures","F07E00",""
"329","233240","Power and communication structures","F07E00",""
"330","233411","Single-family residential structures","F07E00",""
"331","2332C0","Transportation structures and highways and streets","F07E00",""
"332","3219A0","All other wood product manufacturing","F07E00","47"
"333","332200","Cutlery and handtool manufacturing","F07E00","4"
"334","332310","Plate work and fabricated structural product manufacturing","F07E00","6"
"335","332410","Power boiler and heat exchanger manufacturing","F07E00","79"
"336","332420","Metal tank (heavy gauge) manufacturing","F07E00",""
"337","332430","Metal can, box, and other metal container (light gauge) manufacturing","F07E00","27"
"338","332710","Machine shops","F07E00","528"
"339","33291A","Valve and fittings other than plumbing","F07E00","1"
"340","332996","Fabricated pipe and pipe fitting manufacturing","F07E00","0"
"341","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F07E00",""
"342","332999","Other fabricated metal manufacturing","F07E00","320"
"343","333111","Farm machinery and equipment manufacturing","F07E00","126"
"344","333112","Lawn and garden equipment manufacturing","F07E00","1"
"345","333120","Construction machinery manufacturing","F07E00","0"
"346","33329A","Other industrial machinery manufacturing","F07E00","29"
"347","333314","Optical instrument and lens manufacturing","F07E00",""
"348","333316","Photographic and photocopying equipment manufacturing","F07E00","3"
"349","333318","Other commercial and service industry machinery manufacturing","F07E00","28"
"350","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F07E00",""
"351","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F07E00",""
"352","333517","Machine tool manufacturing","F07E00","32"
"353","333611","Turbine and turbine generator set units manufacturing","F07E00","367"
"354","333618","Other engine equipment manufacturing","F07E00","6"
"355","333912","Air and gas compressor manufacturing","F07E00","3"
"356","33391A","Pump and pumping equipment manufacturing","F07E00","7"
"357","333920","Material handling equipment manufacturing","F07E00","29"
"358","333991","Power-driven handtool manufacturing","F07E00",""
"359","333993","Packaging machinery manufacturing","F07E00","1"
"360","333994","Industrial process furnace and oven manufacturing","F07E00",""
"361","33399A","Other general purpose machinery manufacturing","F07E00","1"
"362","33399B","Fluid power process machinery","F07E00",""
"363","334111","Electronic computer manufacturing","F07E00","620"
"364","334112","Computer storage device manufacturing","F07E00","48"
"365","334118","Computer terminals and other computer peripheral equipment manufacturing","F07E00","63"
"366","334210","Telephone apparatus manufacturing","F07E00","1,560"
"367","334220","Broadcast and wireless communications equipment","F07E00","3,663"
"368","334290","Other communications equipment manufacturing","F07E00","2"
"369","334418","Printed circuit assembly (electronic assembly) manufacturing","F07E00","4"
"370","33441A","Other electronic component manufacturing","F07E00","4"
"371","334510","Electromedical and electrotherapeutic apparatus manufacturing","F07E00","225"
"372","334511","Search, detection, and navigation instruments manufacturing","F07E00","2,123"
"373","334513","Industrial process variable instruments manufacturing","F07E00","3"
"374","334514","Totalizing fluid meter and counting device manufacturing","F07E00",""
"375","334515","Electricity and signal testing instruments manufacturing","F07E00","14"
"376","334516","Analytical laboratory instrument manufacturing","F07E00","1"
"377","334517","Irradiation apparatus manufacturing","F07E00","31"
"378","33451A","Watch, clock, and other measuring and controlling device manufacturing","F07E00",""
"379","334300","Audio and video equipment manufacturing","F07E00",""
"380","335120","Lighting fixture manufacturing","F07E00",""
"381","335210","Small electrical appliance manufacturing","F07E00","61"
"382","335221","Household cooking appliance manufacturing","F07E00",""
"383","335222","Household refrigerator and home freezer manufacturing","F07E00",""
"384","335224","Household laundry equipment manufacturing","F07E00",""
"385","335311","Power, distribution, and specialty transformer manufacturing","F07E00","303"
"386","335312","Motor and generator manufacturing","F07E00","320"
"387","335313","Switchgear and switchboard apparatus manufacturing","F07E00","295"
"388","335314","Relay and industrial control manufacturing","F07E00","460"
"389","335920","Communication and energy wire and cable manufacturing","F07E00","132"
"390","335999","All other miscellaneous electrical equipment and component manufacturing","F07E00","54"
"391","336111","Automobile manufacturing","F07E00","123"
"392","336112","Light truck and utility vehicle manufacturing","F07E00","3"
"393","336120","Heavy duty truck manufacturing","F07E00","103"
"394","336211","Motor vehicle body manufacturing","F07E00","124"
"395","336212","Truck trailer manufacturing","F07E00","14"
"396","336360","Motor vehicle seating and interior trim manufacturing","F07E00","1"
"397","336411","Aircraft manufacturing","F07E00","243"
"398","336412","Aircraft engine and engine parts manufacturing","F07E00",""
"399","336414","Guided missile and space vehicle manufacturing","F07E00","1,746"
"400","33641A","Propulsion units and parts for space vehicles and guided missiles","F07E00","1,466"
"401","336500","Railroad rolling stock manufacturing","F07E00","34"
"402","336611","Ship building and repairing","F07E00","64"
"403","336612","Boat building","F07E00","371"
"404","336991","Motorcycle, bicycle, and parts manufacturing","F07E00",""
"405","336992","Military armored vehicle, tank, and tank component manufacturing","F07E00",""
"406","336999","All other transportation equipment manufacturing","F07E00",""
"407","337121","Upholstered household furniture manufacturing","F07E00","0"
"408","337122","Nonupholstered wood household furniture manufacturing","F07E00","7"
"409","337127","Institutional furniture manufacturing","F07E00","1"
"410","337215","Showcase, partition, shelving, and locker manufacturing","F07E00","3"
"411","33721A","Office furniture and custom architectural woodwork and millwork manufacturing","F07E00","12"
"412","337900","Other furniture related product manufacturing","F07E00",""
"413","339112","Surgical and medical instrument manufacturing","F07E00","7"
"414","339113","Surgical appliance and supplies manufacturing","F07E00","75"
"415","339114","Dental equipment and supplies manufacturing","F07E00","72"
"416","339920","Sporting and athletic goods manufacturing","F07E00","1"
"417","339940","Office supplies (except paper) manufacturing","F07E00","1"
"418","339950","Sign manufacturing","F07E00","2"
"419","339990","All other miscellaneous manufacturing","F07E00",""
"420","314110","Carpet and rug mills","F07E00","1"
"421","314900","Other textile product mills","F07E00","44"
"422","326290","Other rubber product manufacturing","F07E00","21"
"423","511200","Software publishers","F07E00",""
"424","518200","Data processing, hosting, and related services","F07E00",""
"425","541511","Custom computer programming services","F07E00",""
"426","541512","Computer systems design services","F07E00",""
"427","541700","Scientific research and development services","F07E00",""
"428","S00402","Used and secondhand goods","F07E00","-38"
"429","233210","Health care structures","F07N00",""
"430","233262","Educational and vocational structures","F07N00",""
"431","2332A0","Office and commercial structures","F07N00",""
"432","233412","Multifamily residential structures","F07N00",""
"433","2334A0","Other residential structures","F07N00",""
"434","233230","Manufacturing structures","F07N00",""
"435","2332D0","Other nonresidential structures","F07N00",""
"436","233240","Power and communication structures","F07N00",""
"437","233411","Single-family residential structures","F07N00",""
"438","2332C0","Transportation structures and highways and streets","F07N00",""
"439","3219A0","All other wood product manufacturing","F07N00",""
"440","332200","Cutlery and handtool manufacturing","F07N00",""
"441","332310","Plate work and fabricated structural product manufacturing","F07N00",""
"442","332410","Power boiler and heat exchanger manufacturing","F07N00",""
"443","332420","Metal tank (heavy gauge) manufacturing","F07N00",""
"444","332430","Metal can, box, and other metal container (light gauge) manufacturing","F07N00",""
"445","332710","Machine shops","F07N00",""
"446","33291A","Valve and fittings other than plumbing","F07N00",""
"447","332996","Fabricated pipe and pipe fitting manufacturing","F07N00",""
"448","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F07N00",""
"449","332999","Other fabricated metal manufacturing","F07N00",""
"450","333111","Farm machinery and equipment manufacturing","F07N00",""
"451","333112","Lawn and garden equipment manufacturing","F07N00",""
"452","333120","Construction machinery manufacturing","F07N00",""
"453","33329A","Other industrial machinery manufacturing","F07N00",""
"454","333314","Optical instrument and lens manufacturing","F07N00",""
"455","333316","Photographic and photocopying equipment manufacturing","F07N00",""
"456","333318","Other commercial and service industry machinery manufacturing","F07N00",""
"457","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F07N00",""
"458","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F07N00",""
"459","333517","Machine tool manufacturing","F07N00",""
"460","333611","Turbine and turbine generator set units manufacturing","F07N00",""
"461","333618","Other engine equipment manufacturing","F07N00",""
"462","333912","Air and gas compressor manufacturing","F07N00",""
"463","33391A","Pump and pumping equipment manufacturing","F07N00",""
"464","333920","Material handling equipment manufacturing","F07N00",""
"465","333991","Power-driven handtool manufacturing","F07N00",""
"466","333993","Packaging machinery manufacturing","F07N00",""
"467","333994","Industrial process furnace and oven manufacturing","F07N00",""
"468","33399A","Other general purpose machinery manufacturing","F07N00",""
"469","33399B","Fluid power process machinery","F07N00",""
"470","334111","Electronic computer manufacturing","F07N00",""
"471","334112","Computer storage device manufacturing","F07N00",""
"472","334118","Computer terminals and other computer peripheral equipment manufacturing","F07N00",""
"473","334210","Telephone apparatus manufacturing","F07N00",""
"474","334220","Broadcast and wireless communications equipment","F07N00",""
"475","334290","Other communications equipment manufacturing","F07N00",""
"476","334418","Printed circuit assembly (electronic assembly) manufacturing","F07N00",""
"477","33441A","Other electronic component manufacturing","F07N00",""
"478","334510","Electromedical and electrotherapeutic apparatus manufacturing","F07N00",""
"479","334511","Search, detection, and navigation instruments manufacturing","F07N00",""
"480","334513","Industrial process variable instruments manufacturing","F07N00",""
"481","334514","Totalizing fluid meter and counting device manufacturing","F07N00",""
"482","334515","Electricity and signal testing instruments manufacturing","F07N00",""
"483","334516","Analytical laboratory instrument manufacturing","F07N00",""
"484","334517","Irradiation apparatus manufacturing","F07N00",""
"485","33451A","Watch, clock, and other measuring and controlling device manufacturing","F07N00",""
"486","334300","Audio and video equipment manufacturing","F07N00",""
"487","335120","Lighting fixture manufacturing","F07N00",""
"488","335210","Small electrical appliance manufacturing","F07N00",""
