"","dig_code","dig_desc","variable","inv_12"
"93","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F06E00",""
"94","333511","Industrial mold manufacturing","F06E00",""
"95","333514","Special tool, die, jig, and fixture manufacturing","F06E00",""
"96","333517","Machine tool manufacturing","F06E00","7"
"97","33351B","Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","F06E00",""
"98","333611","Turbine and turbine generator set units manufacturing","F06E00","80"
"99","333612","Speed changer, industrial high-speed drive, and gear manufacturing","F06E00",""
"100","333613","Mechanical power transmission equipment manufacturing","F06E00",""
"101","333618","Other engine equipment manufacturing","F06E00",""
"102","333912","Air and gas compressor manufacturing","F06E00","22"
"103","33391A","Pump and pumping equipment manufacturing","F06E00","341"
"104","333920","Material handling equipment manufacturing","F06E00","81"
"105","333991","Power-driven handtool manufacturing","F06E00","1"
"106","333993","Packaging machinery manufacturing","F06E00",""
"107","333994","Industrial process furnace and oven manufacturing","F06E00",""
"108","33399A","Other general purpose machinery manufacturing","F06E00","19"
"109","33399B","Fluid power process machinery","F06E00","67"
"110","334111","Electronic computer manufacturing","F06E00","1,325"
"111","334112","Computer storage device manufacturing","F06E00","227"
"112","334118","Computer terminals and other computer peripheral equipment manufacturing","F06E00","182"
"113","334210","Telephone apparatus manufacturing","F06E00","1,912"
"114","334220","Broadcast and wireless communications equipment","F06E00","10,468"
"115","334290","Other communications equipment manufacturing","F06E00","60"
"116","334413","Semiconductor and related device manufacturing","F06E00",""
"117","334418","Printed circuit assembly (electronic assembly) manufacturing","F06E00",""
"118","33441A","Other electronic component manufacturing","F06E00",""
"119","334510","Electromedical and electrotherapeutic apparatus manufacturing","F06E00","431"
"120","334511","Search, detection, and navigation instruments manufacturing","F06E00","17,726"
"121","334512","Automatic environmental control manufacturing","F06E00",""
"122","334513","Industrial process variable instruments manufacturing","F06E00","5"
"123","334514","Totalizing fluid meter and counting device manufacturing","F06E00",""
"124","334515","Electricity and signal testing instruments manufacturing","F06E00","3,086"
"125","334516","Analytical laboratory instrument manufacturing","F06E00",""
"126","334517","Irradiation apparatus manufacturing","F06E00","169"
"127","33451A","Watch, clock, and other measuring and controlling device manufacturing","F06E00",""
"128","334300","Audio and video equipment manufacturing","F06E00",""
"129","334610","Manufacturing and reproducing magnetic and optical media","F06E00",""
"130","335110","Electric lamp bulb and part manufacturing","F06E00",""
"131","335120","Lighting fixture manufacturing","F06E00",""
"132","335210","Small electrical appliance manufacturing","F06E00","4"
"133","335221","Household cooking appliance manufacturing","F06E00","3"
"134","335222","Household refrigerator and home freezer manufacturing","F06E00",""
"135","335224","Household laundry equipment manufacturing","F06E00",""
"136","335228","Other major household appliance manufacturing","F06E00",""
"137","335311","Power, distribution, and specialty transformer manufacturing","F06E00","0"
"138","335312","Motor and generator manufacturing","F06E00","11"
"139","335313","Switchgear and switchboard apparatus manufacturing","F06E00",""
"140","335314","Relay and industrial control manufacturing","F06E00","415"
"141","335911","Storage battery manufacturing","F06E00",""
"142","335912","Primary battery manufacturing","F06E00",""
"143","335920","Communication and energy wire and cable manufacturing","F06E00","9"
"144","335930","Wiring device manufacturing","F06E00",""
"145","335991","Carbon and graphite product manufacturing","F06E00",""
"146","335999","All other miscellaneous electrical equipment and component manufacturing","F06E00","703"
"147","336111","Automobile manufacturing","F06E00","1,027"
"148","336112","Light truck and utility vehicle manufacturing","F06E00","7"
"149","336120","Heavy duty truck manufacturing","F06E00","392"
"150","336211","Motor vehicle body manufacturing","F06E00",""
"151","336212","Truck trailer manufacturing","F06E00","73"
"152","336213","Motor home manufacturing","F06E00",""
"153","336214","Travel trailer and camper manufacturing","F06E00",""
"154","336310","Motor vehicle gasoline engine and engine parts manufacturing","F06E00",""
"155","336320","Motor vehicle electrical and electronic equipment manufacturing","F06E00",""
"156","336350","Motor vehicle transmission and power train parts manufacturing","F06E00",""
"157","336360","Motor vehicle seating and interior trim manufacturing","F06E00",""
"158","336370","Motor vehicle metal stamping","F06E00",""
"159","336390","Other Motor Vehicle Parts Manufacturing","F06E00",""
"160","3363A0","Motor vehicle steering, suspension component (except spring), and brake systems manufacturing","F06E00",""
"161","336411","Aircraft manufacturing","F06E00","19,643"
"162","336412","Aircraft engine and engine parts manufacturing","F06E00","544"
"163","336413","Other aircraft parts and auxiliary equipment manufacturing","F06E00",""
"164","336414","Guided missile and space vehicle manufacturing","F06E00","5,883"
"165","33641A","Propulsion units and parts for space vehicles and guided missiles","F06E00",""
"166","336500","Railroad rolling stock manufacturing","F06E00","9"
"167","336611","Ship building and repairing","F06E00","9,302"
"168","336612","Boat building","F06E00","98"
"169","336991","Motorcycle, bicycle, and parts manufacturing","F06E00",""
"170","336992","Military armored vehicle, tank, and tank component manufacturing","F06E00","4,282"
"171","336999","All other transportation equipment manufacturing","F06E00","46"
"172","337110","Wood kitchen cabinet and countertop manufacturing","F06E00",""
"173","337121","Upholstered household furniture manufacturing","F06E00",""
"174","337122","Nonupholstered wood household furniture manufacturing","F06E00","0"
"175","337127","Institutional furniture manufacturing","F06E00","0"
"176","33712N","Other household nonupholstered furniture","F06E00",""
"177","337215","Showcase, partition, shelving, and locker manufacturing","F06E00","0"
"178","33721A","Office furniture and custom architectural woodwork and millwork manufacturing","F06E00","1"
"179","337900","Other furniture related product manufacturing","F06E00",""
"180","339112","Surgical and medical instrument manufacturing","F06E00","61"
"181","339113","Surgical appliance and supplies manufacturing","F06E00","9"
"182","339114","Dental equipment and supplies manufacturing","F06E00","63"
"183","339115","Ophthalmic goods manufacturing","F06E00",""
"184","339116","Dental laboratories","F06E00",""
"185","339910","Jewelry and silverware manufacturing","F06E00",""
"186","339920","Sporting and athletic goods manufacturing","F06E00","0"
"187","339930","Doll, toy, and game manufacturing","F06E00",""
"188","339940","Office supplies (except paper) manufacturing","F06E00",""
"189","339950","Sign manufacturing","F06E00","0"
"190","339990","All other miscellaneous manufacturing","F06E00","23"
"191","311111","Dog and cat food manufacturing","F06E00",""
"192","311119","Other animal food manufacturing","F06E00",""
"193","311210","Flour milling and malt manufacturing","F06E00",""
"194","311221","Wet corn milling","F06E00",""
"195","311225","Fats and oils refining and blending","F06E00",""
"196","311224","Soybean and other oilseed processing","F06E00",""
"197","311230","Breakfast cereal manufacturing","F06E00",""
"198","311300","Sugar and confectionery product manufacturing","F06E00",""
"199","311410","Frozen food manufacturing","F06E00",""
"200","311420","Fruit and vegetable canning, pickling, and drying","F06E00",""
"201","311513","Cheese manufacturing","F06E00",""
"202","311514","Dry, condensed, and evaporated dairy product manufacturing","F06E00",""
"203","31151A","Fluid milk and butter manufacturing","F06E00",""
"204","311520","Ice cream and frozen dessert manufacturing","F06E00",""
"205","311615","Poultry processing","F06E00",""
"206","31161A","Animal (except poultry) slaughtering, rendering, and processing","F06E00",""
"207","311700","Seafood product preparation and packaging","F06E00",""
"208","311810","Bread and bakery product manufacturing","F06E00",""
"209","3118A0","Cookie, cracker, pasta, and tortilla manufacturing","F06E00",""
"210","311910","Snack food manufacturing","F06E00",""
"211","311920","Coffee and tea manufacturing","F06E00",""
"212","311930","Flavoring syrup and concentrate manufacturing","F06E00",""
"213","311940","Seasoning and dressing manufacturing","F06E00",""
"214","311990","All other food manufacturing","F06E00",""
"215","312110","Soft drink and ice manufacturing","F06E00",""
"216","312120","Breweries","F06E00",""
"217","312130","Wineries","F06E00",""
"218","312140","Distilleries","F06E00",""
"219","312200","Tobacco product manufacturing","F06E00",""
"220","313100","Fiber, yarn, and thread mills","F06E00",""
"221","313200","Fabric mills","F06E00",""
"222","313300","Textile and fabric finishing and fabric coating mills","F06E00",""
"223","314110","Carpet and rug mills","F06E00",""
"224","314120","Curtain and linen mills","F06E00",""
"225","314900","Other textile product mills","F06E00",""
"226","315000","Apparel manufacturing","F06E00",""
"227","316000","Leather and allied product manufacturing","F06E00",""
"228","322110","Pulp mills","F06E00",""
"229","322120","Paper mills","F06E00",""
"230","322130","Paperboard mills","F06E00",""
"231","322210","Paperboard container manufacturing","F06E00",""
"232","322220","Paper Bag and Coated and Treated Paper Manufacturing","F06E00",""
"233","322230","Stationery product manufacturing","F06E00",""
"234","322291","Sanitary paper product manufacturing","F06E00",""
"235","322299","All other converted paper product manufacturing","F06E00",""
"236","323110","Printing","F06E00",""
"237","323120","Support activities for printing","F06E00",""
"238","324110","Petroleum refineries","F06E00",""
"239","324121","Asphalt paving mixture and block manufacturing","F06E00",""
"240","324122","Asphalt shingle and coating materials manufacturing","F06E00",""
"241","324190","Other petroleum and coal products manufacturing","F06E00",""
"242","325110","Petrochemical manufacturing","F06E00",""
"243","325120","Industrial gas manufacturing","F06E00",""
"244","325130","Synthetic dye and pigment manufacturing","F06E00",""
"245","325180","Other Basic Inorganic Chemical Manufacturing","F06E00",""
"246","325190","Other basic organic chemical manufacturing","F06E00",""
"247","325211","Plastics material and resin manufacturing","F06E00",""
"248","3252A0","Synthetic rubber and artificial and synthetic fibers and filaments manufacturing","F06E00",""
"249","325411","Medicinal and botanical manufacturing","F06E00",""
"250","325412","Pharmaceutical preparation manufacturing","F06E00",""
"251","325413","In-vitro diagnostic substance manufacturing","F06E00",""
"252","325414","Biological product (except diagnostic) manufacturing","F06E00",""
"253","325310","Fertilizer manufacturing","F06E00",""
"254","325320","Pesticide and other agricultural chemical manufacturing","F06E00",""
"255","325510","Paint and coating manufacturing","F06E00",""
"256","325520","Adhesive manufacturing","F06E00",""
"257","325610","Soap and cleaning compound manufacturing","F06E00",""
"258","325620","Toilet preparation manufacturing","F06E00",""
"259","325910","Printing ink manufacturing","F06E00",""
"260","3259A0","All other chemical product and preparation manufacturing","F06E00",""
"261","326110","Plastics packaging materials and unlaminated film and sheet manufacturing","F06E00",""
"262","326120","Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","F06E00",""
"263","326130","Laminated plastics plate, sheet (except packaging), and shape manufacturing","F06E00",""
"264","326140","Polystyrene foam product manufacturing","F06E00",""
"265","326150","Urethane and other foam product (except polystyrene) manufacturing","F06E00",""
"266","326160","Plastics bottle manufacturing","F06E00",""
"267","326190","Other plastics product manufacturing","F06E00",""
"268","326210","Tire manufacturing","F06E00",""
"269","326220","Rubber and plastics hoses and belting manufacturing","F06E00",""
"270","326290","Other rubber product manufacturing","F06E00",""
"271","423100","Motor vehicle and motor vehicle parts and supplies","F06E00",""
"272","423400","Professional and commercial equipment and supplies","F06E00",""
"273","423600","Household appliances and electrical and electronic goods ","F06E00",""
"274","423800","Machinery, equipment, and supplies","F06E00",""
"275","423A00","Other durable goods merchant wholesalers","F06E00",""
"276","424200","Drugs and druggists’ sundries","F06E00",""
"277","424400","Grocery and related product wholesalers ","F06E00",""
"278","424700","Petroleum and petroleum products","F06E00",""
"279","424A00","Other nondurable goods merchant wholesalers","F06E00",""
"280","425000","Wholesale electronic markets and agents and brokers","F06E00",""
"281","4200ID","Customs duties","F06E00",""
"282","454000","Nonstore retailers","F06E00",""
"283","481000","Air transportation","F06E00",""
"284","482000","Rail transportation","F06E00",""
"285","483000","Water transportation","F06E00",""
"286","484000","Truck transportation","F06E00",""
"287","485000","Transit and ground passenger transportation","F06E00",""
"288","486000","Pipeline transportation","F06E00",""
"289","48A000","Scenic and sightseeing transportation and support activities for transportation","F06E00",""
"290","492000","Couriers and messengers","F06E00",""
"291","493000","Warehousing and storage","F06E00",""
"292","511110","Newspaper publishers","F06E00",""
"293","511120","Periodical Publishers","F06E00",""
"294","511130","Book publishers","F06E00",""
"295","5111A0","Directory, mailing list, and other publishers","F06E00",""
"296","511200","Software publishers","F06E00",""
"297","512100","Motion picture and video industries","F06E00",""
"298","512200","Sound recording industries","F06E00",""
"299","515100","Radio and television broadcasting","F06E00",""
"300","515200","Cable and other subscription programming","F06E00",""
"301","517110","Wired telecommunications carriers","F06E00",""
"302","517210","Wireless telecommunications carriers (except satellite)","F06E00",""
"303","517A00","Satellite, telecommunications resellers, and all other telecommunications","F06E00",""
"304","518200","Data processing, hosting, and related services","F06E00",""
"305","519130","Internet publishing and broadcasting and Web search portals","F06E00",""
"306","5191A0","News syndicates, libraries, archives and all other information services","F06E00",""
"307","522A00","Nondepository credit intermediation and related activities","F06E00",""
"308","52A000","Monetary authorities and depository credit intermediation","F06E00",""
"309","523900","Other financial investment activities","F06E00",""
"310","523A00","Securities and commodity contracts intermediation and brokerage","F06E00",""
"311","524113","Direct life insurance carriers","F06E00",""
"312","5241XX","Insurance carriers, except direct life","F06E00",""
"313","524200","Insurance agencies, brokerages, and related activities","F06E00",""
"314","525000","Funds, trusts, and other financial vehicles","F06E00",""
"315","531HSO","Owner-occupied housing","F06E00",""
"316","531HST","Tenant-occupied housing","F06E00",""
"317","531ORE","Other real estate","F06E00",""
"318","532100","Automotive equipment rental and leasing","F06E00",""
"319","532400","Commercial and industrial machinery and equipment rental and leasing","F06E00",""
"320","532A00","General and consumer goods rental","F06E00",""
"321","533000","Lessors of nonfinancial intangible assets","F06E00",""
"322","541100","Legal services","F06E00",""
"323","541511","Custom computer programming services","F06E00",""
"324","541512","Computer systems design services","F06E00","2,086"
"325","54151A","Other computer related services, including facilities management","F06E00",""
"326","541200","Accounting, tax preparation, bookkeeping, and payroll services","F06E00",""
"327","541300","Architectural, engineering, and related services","F06E00",""
"328","541610","Management consulting services","F06E00",""
"329","5416A0","Environmental and other technical consulting services","F06E00",""
"330","541700","Scientific research and development services","F06E00",""
"331","541800","Advertising, public relations, and related services","F06E00",""
"332","541400","Specialized design services","F06E00",""
"333","541920","Photographic services","F06E00",""
"334","541940","Veterinary services","F06E00",""
"335","5419A0","All other miscellaneous professional, scientific, and technical services ","F06E00",""
"336","550000","Management of companies and enterprises","F06E00",""
"337","561300","Employment services","F06E00",""
"338","561700","Services to buildings and dwellings","F06E00",""
"339","561100","Office administrative services","F06E00",""
"340","561200","Facilities support services","F06E00",""
"341","561400","Business support services","F06E00",""
"342","561500","Travel arrangement and reservation services","F06E00",""
"343","561600","Investigation and security services","F06E00",""
"344","561900","Other support services","F06E00",""
"345","562000","Waste management and remediation services","F06E00",""
"346","611100","Elementary and secondary schools","F06E00",""
"347","611A00","Junior colleges, colleges, universities, and professional schools","F06E00",""
"348","611B00","Other educational services","F06E00",""
"349","621100","Offices of physicians","F06E00",""
"350","621200","Offices of dentists","F06E00",""
"351","621300","Offices of other health practitioners","F06E00",""
"352","621400","Outpatient care centers","F06E00",""
"353","621500","Medical and diagnostic laboratories","F06E00",""
"354","621600","Home health care services","F06E00",""
"355","621900","Other ambulatory health care services","F06E00",""
"356","622000","Hospitals","F06E00",""
"357","623A00","Nursing and community care facilities","F06E00",""
"358","623B00","Residential mental health, substance abuse, and other residential care facilities","F06E00",""
"359","624100","Individual and family services","F06E00",""
"360","624400","Child day care services","F06E00",""
"361","624A00","Community food, housing, and other relief services, including rehabilitation services","F06E00",""
"362","711100","Performing arts companies","F06E00",""
"363","711200","Spectator sports","F06E00",""
"364","711500","Independent artists, writers, and performers","F06E00",""
"365","711A00","Promoters of performing arts and sports and agents for public figures","F06E00",""
"366","712000","Museums, historical sites, zoos, and parks","F06E00",""
"367","713100","Amusement parks and arcades","F06E00",""
"368","713200","Gambling industries (except casino hotels)","F06E00",""
"369","713900","Other amusement and recreation industries","F06E00",""
"370","721000","Accommodation","F06E00",""
"371","722110","Full-service restaurants","F06E00",""
"372","722211","Limited-service restaurants","F06E00",""
"373","722A00","All other food and drinking places","F06E00",""
"374","811100","Automotive repair and maintenance","F06E00",""
"375","811200","Electronic and precision equipment repair and maintenance","F06E00",""
"376","811300","Commercial and industrial machinery and equipment repair and maintenance","F06E00",""
"377","811400","Personal and household goods repair and maintenance","F06E00",""
"378","812100","Personal care services","F06E00",""
"379","812200","Death care services","F06E00",""
"380","812300","Dry-cleaning and laundry services","F06E00",""
"381","812900","Other personal services","F06E00",""
"382","813100","Religious organizations","F06E00",""
"383","813A00","Grantmaking, giving, and social advocacy organizations","F06E00",""
"384","813B00","Civic, social, professional, and similar organizations","F06E00",""
"385","814000","Private households","F06E00",""
"386","S00500","Federal general government (defense)","F06E00",""
"387","S00600","Federal general government (nondefense)","F06E00",""
"388","491000","Postal service","F06E00",""
"389","S00102","Other federal government enterprises","F06E00",""
"390","GSLGE","State and local government educational services","F06E00",""
"391","GSLGH","State and local government hospitals and health services","F06E00",""
"392","GSLGO","State and local government other services","F06E00",""
"393","S00203","Other state and local government enterprises","F06E00",""
"394","S00401","Scrap","F06E00",""
"395","S00402","Used and secondhand goods","F06E00","0"
"396","S00300","Noncomparable imports","F06E00",""
"397","S00900","Rest of the world adjustment","F06E00",""
"398","1111A0","Oilseed farming","F06N00",""
"399","1111B0","Grain farming","F06N00",""
"400","111200","Vegetable and melon farming","F06N00",""
"401","111300","Fruit and tree nut farming","F06N00",""
"402","111400","Greenhouse, nursery, and floriculture production","F06N00",""
"403","111900","Other crop farming","F06N00",""
"404","112120","Dairy cattle and milk production","F06N00",""
"405","1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","F06N00",""
"406","112300","Poultry and egg production","F06N00",""
"407","112A00","Animal production, except cattle and poultry and eggs","F06N00",""
"408","113000","Forestry and logging","F06N00",""
"409","114000","Fishing, hunting and trapping","F06N00",""
"410","115000","Support activities for agriculture and forestry","F06N00",""
"411","211000","Oil and gas extraction","F06N00",""
"412","212100","Coal mining","F06N00",""
"413","212230","Copper, nickel, lead, and zinc mining","F06N00",""
"414","2122A0","Iron, gold, silver, and other metal ore mining","F06N00",""
"415","212310","Stone mining and quarrying","F06N00",""
"416","2123A0","Other nonmetallic mineral mining and quarrying","F06N00",""
"417","213111","Drilling oil and gas wells","F06N00",""
"418","21311A","Other support activities for mining","F06N00",""
"419","221100","Electric power generation, transmission, and distribution","F06N00",""
"420","221200","Natural gas distribution","F06N00",""
"421","221300","Water, sewage and other systems","F06N00",""
"422","233210","Health care structures","F06N00",""
"423","233262","Educational and vocational structures","F06N00",""
"424","230301","Nonresidential maintenance and repair","F06N00",""
"425","230302","Residential maintenance and repair","F06N00",""
"426","2332A0","Office and commercial structures","F06N00",""
"427","233412","Multifamily residential structures","F06N00",""
"428","2334A0","Other residential structures","F06N00",""
"429","233230","Manufacturing structures","F06N00",""
"430","2332D0","Other nonresidential structures","F06N00",""
"431","233240","Power and communication structures","F06N00",""
"432","233411","Single-family residential structures","F06N00",""
"433","2332C0","Transportation structures and highways and streets","F06N00",""
"434","321100","Sawmills and wood preservation","F06N00",""
"435","321200","Veneer, plywood, and engineered wood product manufacturing","F06N00",""
"436","321910","Millwork","F06N00",""
"437","3219A0","All other wood product manufacturing","F06N00",""
"438","327100","Clay product and refractory manufacturing","F06N00",""
"439","327200","Glass and glass product manufacturing","F06N00",""
"440","327310","Cement manufacturing","F06N00",""
"441","327320","Ready-mix concrete manufacturing","F06N00",""
"442","327330","Concrete pipe, brick, and block manufacturing","F06N00",""
"443","327390","Other concrete product manufacturing","F06N00",""
"444","327400","Lime and gypsum product manufacturing","F06N00",""
"445","327910","Abrasive product manufacturing","F06N00",""
"446","327991","Cut stone and stone product manufacturing","F06N00",""
"447","327992","Ground or treated mineral and earth manufacturing","F06N00",""
"448","327993","Mineral wool manufacturing","F06N00",""
"449","327999","Miscellaneous nonmetallic mineral products","F06N00",""
"450","331110","Iron and steel mills and ferroalloy manufacturing","F06N00",""
"451","331200","Steel product manufacturing from purchased steel","F06N00",""
"452","331313","Alumina refining and primary aluminum production","F06N00",""
"453","33131B","Aluminum product manufacturing from purchased aluminum","F06N00",""
"454","331410","Nonferrous Metal (except Aluminum) Smelting and Refining","F06N00",""
"455","331420","Copper rolling, drawing, extruding and alloying","F06N00",""
"456","331490","Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","F06N00",""
"457","331510","Ferrous metal foundries","F06N00",""
"458","331520","Nonferrous metal foundries","F06N00",""
"459","332114","Custom roll forming","F06N00",""
"460","33211A","All other forging, stamping, and sintering","F06N00",""
"461","332119","Metal crown, closure, and other metal stamping (except automotive)","F06N00",""
"462","332200","Cutlery and handtool manufacturing","F06N00",""
"463","332310","Plate work and fabricated structural product manufacturing","F06N00",""
"464","332320","Ornamental and architectural metal products manufacturing","F06N00",""
"465","332410","Power boiler and heat exchanger manufacturing","F06N00",""
"466","332420","Metal tank (heavy gauge) manufacturing","F06N00",""
"467","332430","Metal can, box, and other metal container (light gauge) manufacturing","F06N00",""
"468","332500","Hardware manufacturing","F06N00",""
"469","332600","Spring and wire product manufacturing","F06N00",""
"470","332710","Machine shops","F06N00",""
"471","332720","Turned product and screw, nut, and bolt manufacturing","F06N00",""
"472","332800","Coating, engraving, heat treating and allied activities","F06N00",""
"473","332913","Plumbing fixture fitting and trim manufacturing","F06N00",""
"474","33291A","Valve and fittings other than plumbing","F06N00",""
"475","332991","Ball and roller bearing manufacturing","F06N00",""
"476","332996","Fabricated pipe and pipe fitting manufacturing","F06N00",""
"477","33299A","Ammunition, arms, ordnance, and accessories manufacturing","F06N00",""
"478","332999","Other fabricated metal manufacturing","F06N00",""
"479","333111","Farm machinery and equipment manufacturing","F06N00",""
"480","333112","Lawn and garden equipment manufacturing","F06N00",""
"481","333120","Construction machinery manufacturing","F06N00",""
"482","333130","Mining and oil and gas field machinery manufacturing","F06N00",""
"483","333242","Semiconductor machinery manufacturing","F06N00",""
"484","33329A","Other industrial machinery manufacturing","F06N00",""
"485","333314","Optical instrument and lens manufacturing","F06N00",""
"486","333316","Photographic and photocopying equipment manufacturing","F06N00",""
"487","333318","Other commercial and service industry machinery manufacturing","F06N00",""
"488","333414","Heating equipment (except warm air furnaces) manufacturing","F06N00",""
"489","333415","Air conditioning, refrigeration, and warm air heating equipment manufacturing","F06N00",""
"490","333413","Industrial and commercial fan and blower and air purification equipment manufacturing","F06N00",""
"491","333511","Industrial mold manufacturing","F06N00",""
"492","333514","Special tool, die, jig, and fixture manufacturing","F06N00",""
"493","333517","Machine tool manufacturing","F06N00",""
"494","33351B","Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","F06N00",""
"495","333611","Turbine and turbine generator set units manufacturing","F06N00",""
"496","333612","Speed changer, industrial high-speed drive, and gear manufacturing","F06N00",""
"497","333613","Mechanical power transmission equipment manufacturing","F06N00",""
"498","333618","Other engine equipment manufacturing","F06N00",""
"499","333912","Air and gas compressor manufacturing","F06N00",""
"500","33391A","Pump and pumping equipment manufacturing","F06N00",""
"501","333920","Material handling equipment manufacturing","F06N00",""
"502","333991","Power-driven handtool manufacturing","F06N00",""
"503","333993","Packaging machinery manufacturing","F06N00",""
"504","333994","Industrial process furnace and oven manufacturing","F06N00",""
