rp_fa_code,rp_fa_type,rp_fa,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
53105msto,Households,"  Tenant-occupied, 1-4 units, major replacements",9.00,10.00,10.00,11.00,12.00,12.00,11.00,9.00,9.00,10.00,10.00,11.00,13.00,14.00,14.00,15.00,17.00,18.00,19.00,20.00,21.00,24.00,31.00,36.00,39.00,43.00,48.00,53.00,56.00,60.00,64.00,71.00,75.00,79.00,86.00,92.00,100.00,107.00,114.00,121.00,129.00,139.00,151.00,166.00,186.00,207.00,231.00,252.00,280.00,326.00,370.00,405.00,448.00,504.00,580.00,673.00,765.00,833.00,881.00,961.00,1061.00,1160.00,1288.00,1424.00,1555.00,1726.00,1909.00,2052.00,2190.00,2250.00,2379.00,2503.00,2599.00,2659.00,2759.00,2918.00,3057.00,3152.00,3319.00,3583.00,3841.00,4086.00,4194.00,4334.00,4171.00,4224.00,4356.00,4357.00,4423.00,4518.00,4480.00,4534.00
53105mfto,Households,"  Tenant-occupied, 5+ units, new",12.00,13.00,15.00,17.00,19.00,19.00,18.00,14.00,14.00,15.00,15.00,15.00,17.00,18.00,18.00,19.00,21.00,22.00,24.00,26.00,27.00,29.00,35.00,39.00,40.00,42.00,46.00,48.00,48.00,48.00,50.00,51.00,52.00,53.00,61.00,74.00,85.00,97.00,113.00,136.00,160.00,196.00,230.00,258.00,283.00,299.00,332.00,374.00,427.00,490.00,541.00,577.00,632.00,723.00,795.00,882.00,965.00,1055.00,1116.00,1157.00,1213.00,1296.00,1357.00,1398.00,1405.00,1392.00,1419.00,1435.00,1456.00,1454.00,1477.00,1517.00,1587.00,1728.00,1794.00,1890.00,1954.00,2032.00,2124.00,2252.00,2411.00,2671.00,2831.00,2937.00,2977.00,3026.00,2947.00,2979.00,3050.00,3186.00,3574.00,3812.00
53105amto,Households,"  Tenant-occupied, 5+ units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,5.00,6.00,6.00,7.00,7.00,8.00,9.00,9.00,10.00,11.00,12.00,13.00,14.00,16.00,17.00,19.00,21.00,23.00,27.00,30.00,33.00,38.00,44.00,50.00,58.00,65.00,71.00,73.00,76.00,81.00,90.00,100.00,112.00,122.00,131.00,138.00,142.00,152.00,163.00,180.00,196.00,211.00,227.00,249.00,277.00,315.00,350.00,389.00,438.00,476.00,511.00,530.00,544.00,533.00,545.00,567.00,579.00,606.00,642.00,656.00,685.00
53105mmto,Households,"  Tenant-occupied, 5+ units, major replacements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,16.00,19.00,21.00,24.00,26.00,29.00,33.00,38.00,44.00,51.00,60.00,70.00,79.00,92.00,106.00,120.00,135.00,147.00,158.00,170.00,181.00,187.00,205.00,222.00,238.00,252.00,272.00,300.00,330.00,357.00,390.00,439.00,475.00,505.00,523.00,542.00,523.00,531.00,548.00,549.00,559.00,573.00,570.00,579.00
53105acto,Households,"  Tenant-occupied, acquisition costs",17.00,18.00,20.00,20.00,21.00,21.00,19.00,15.00,15.00,17.00,18.00,19.00,20.00,21.00,21.00,21.00,23.00,25.00,26.00,28.00,28.00,29.00,33.00,33.00,32.00,31.00,32.00,32.00,32.00,32.00,33.00,34.00,35.00,35.00,37.00,41.00,45.00,50.00,56.00,64.00,72.00,81.00,89.00,95.00,102.00,103.00,111.00,123.00,137.00,149.00,160.00,173.00,198.00,229.00,265.00,293.00,305.00,308.00,316.00,344.00,387.00,448.00,518.00,570.00,618.00,641.00,648.00,658.00,702.00,754.00,790.00,824.00,851.00,915.00,1003.00,1111.00,1234.00,1334.00,1500.00,1713.00,2023.00,2251.00,2307.00,2161.00,1939.00,1808.00,1694.00,1665.00,1796.00,1950.00,2035.00,2154.00
53105dcto,Households,"  Tenant-occupied, disposal costs",78.00,87.00,92.00,96.00,101.00,97.00,87.00,70.00,69.00,78.00,80.00,84.00,92.00,94.00,92.00,96.00,104.00,110.00,115.00,122.00,125.00,129.00,146.00,149.00,142.00,137.00,142.00,142.00,141.00,142.00,147.00,153.00,155.00,156.00,167.00,187.00,206.00,232.00,263.00,301.00,341.00,383.00,419.00,448.00,480.00,487.00,524.00,586.00,659.00,728.00,793.00,868.00,1011.00,1203.00,1450.00,1660.00,1764.00,1789.00,1799.00,1880.00,2013.00,2228.00,2466.00,2605.00,2727.00,2764.00,2762.00,2761.00,2876.00,3027.00,3145.00,3263.00,3347.00,3580.00,3902.00,4316.00,4790.00,5155.00,5747.00,6490.00,7571.00,8347.00,8533.00,8046.00,7347.00,6969.00,6603.00,6552.00,7118.00,7765.00,8121.00,8593.00
53105e1to,Households,"  Tenant-occupied, 1-4 units, equipment",11.00,11.00,12.00,12.00,13.00,13.00,12.00,10.00,10.00,10.00,10.00,11.00,12.00,13.00,13.00,14.00,16.00,18.00,18.00,17.00,17.00,20.00,27.00,35.00,39.00,44.00,53.00,57.00,60.00,63.00,65.00,68.00,72.00,75.00,84.00,89.00,91.00,93.00,96.00,101.00,105.00,111.00,117.00,128.00,142.00,159.00,177.00,197.00,222.00,261.00,307.00,340.00,371.00,416.00,481.00,563.00,656.00,729.00,765.00,789.00,785.00,779.00,778.00,807.00,865.00,913.00,932.00,946.00,969.00,1004.00,1024.00,1044.00,1055.00,1064.00,1074.00,1109.00,1150.00,1180.00,1187.00,1206.00,1299.00,1387.00,1452.00,1475.00,1464.00,1385.00,1379.00,1430.00,1412.00,1388.00,1386.00,1391.00
53105e5to,Households,"  Tenant-occupied, 5+ units, equipment",5.00,5.00,5.00,6.00,6.00,6.00,5.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,7.00,8.00,8.00,7.00,8.00,9.00,12.00,16.00,17.00,20.00,24.00,25.00,27.00,28.00,29.00,30.00,32.00,34.00,38.00,40.00,41.00,42.00,43.00,45.00,47.00,50.00,52.00,57.00,64.00,71.00,79.00,88.00,100.00,117.00,139.00,155.00,170.00,190.00,214.00,240.00,268.00,293.00,311.00,342.00,397.00,476.00,569.00,626.00,649.00,668.00,674.00,680.00,692.00,713.00,723.00,734.00,739.00,742.00,746.00,769.00,794.00,814.00,817.00,828.00,891.00,951.00,995.00,1010.00,1002.00,948.00,943.00,978.00,965.00,949.00,947.00,951.00
53102sfto,Corporate,"  Tenant-occupied, 1-4 units, new",9.00,10.00,10.00,10.00,11.00,11.00,10.00,8.00,8.00,9.00,9.00,9.00,10.00,10.00,11.00,11.00,13.00,13.00,14.00,16.00,17.00,18.00,22.00,24.00,24.00,25.00,27.00,27.00,28.00,28.00,29.00,30.00,30.00,30.00,30.00,33.00,35.00,37.00,37.00,37.00,39.00,41.00,43.00,45.00,49.00,51.00,55.00,61.00,69.00,79.00,88.00,93.00,104.00,119.00,135.00,153.00,166.00,172.00,174.00,179.00,183.00,192.00,200.00,208.00,216.00,222.00,222.00,224.00,234.00,245.00,256.00,261.00,270.00,279.00,295.00,312.00,333.00,347.00,373.00,412.00,452.00,490.00,502.00,490.00,469.00,460.00,462.00,465.00,490.00,527.00,541.00,567.00
53102asto,Corporate,"  Tenant-occupied, 1-4 units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,13.00,15.00,17.00,19.00,23.00,27.00,32.00,37.00,41.00,43.00,46.00,48.00,51.00,55.00,59.00,63.00,67.00,69.00,71.00,76.00,80.00,87.00,98.00,111.00,123.00,137.00,155.00,173.00,185.00,207.00,240.00,273.00,306.00,328.00,347.00,351.00,369.00,393.00,411.00,441.00,477.00,498.00,531.00
53102msto,Corporate,"  Tenant-occupied, 1-4 units, major replacements",0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,10.00,11.00,13.00,15.00,17.00,18.00,21.00,24.00,28.00,31.00,34.00,36.00,40.00,44.00,48.00,53.00,59.00,64.00,71.00,79.00,85.00,91.00,94.00,102.00,110.00,117.00,123.00,131.00,144.00,158.00,169.00,185.00,206.00,227.00,247.00,258.00,271.00,265.00,272.00,284.00,287.00,295.00,305.00,307.00,314.00
53102mfto,Corporate,"  Tenant-occupied, 5+ units, new",4.00,5.00,5.00,6.00,7.00,7.00,6.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,7.00,7.00,8.00,8.00,9.00,10.00,10.00,13.00,14.00,14.00,15.00,16.00,17.00,17.00,17.00,18.00,18.00,18.00,19.00,21.00,26.00,29.00,33.00,38.00,45.00,53.00,65.00,76.00,85.00,94.00,100.00,111.00,126.00,144.00,165.00,183.00,195.00,214.00,245.00,270.00,300.00,328.00,359.00,380.00,395.00,414.00,443.00,465.00,479.00,482.00,478.00,488.00,497.00,506.00,510.00,524.00,540.00,569.00,624.00,652.00,690.00,717.00,749.00,787.00,842.00,921.00,1039.00,1106.00,1153.00,1174.00,1196.00,1166.00,1185.00,1220.00,1278.00,1437.00,1537.00
53102amto,Corporate,"  Tenant-occupied, 5+ units, additions and alterations",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,10.00,11.00,12.00,14.00,16.00,18.00,21.00,23.00,25.00,26.00,27.00,29.00,32.00,36.00,40.00,44.00,47.00,50.00,53.00,58.00,64.00,73.00,81.00,88.00,97.00,107.00,121.00,138.00,154.00,171.00,193.00,210.00,226.00,234.00,240.00,236.00,241.00,251.00,257.00,269.00,285.00,292.00,305.00
53102mmto,Corporate,"  Tenant-occupied, 5+ units, major replacements",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,5.00,5.00,6.00,7.00,8.00,8.00,9.00,10.00,12.00,14.00,16.00,18.00,21.00,25.00,28.00,33.00,38.00,43.00,48.00,53.00,58.00,66.00,73.00,77.00,87.00,95.00,104.00,112.00,121.00,134.00,149.00,161.00,176.00,198.00,214.00,227.00,235.00,244.00,235.00,239.00,247.00,247.00,252.00,258.00,256.00,261.00
53102acto,Corporate,"  Tenant-occupied, acquisition costs",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,6.00,8.00,9.00,11.00,13.00,15.00,16.00,17.00,17.00,17.00,19.00,21.00,22.00,23.00,24.00,26.00,28.00,31.00,33.00,33.00,34.00,34.00,37.00,42.00,49.00,57.00,62.00,67.00,70.00,72.00,75.00,81.00,88.00,94.00,100.00,109.00,124.00,142.00,164.00,189.00,211.00,243.00,281.00,336.00,380.00,398.00,383.00,353.00,332.00,311.00,307.00,332.00,361.00,377.00,400.00
53102dcto,Corporate,"  Tenant-occupied, disposal costs",5.00,5.00,6.00,6.00,7.00,7.00,6.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,7.00,7.00,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,9.00,9.00,12.00,16.00,21.00,27.00,36.00,45.00,55.00,63.00,70.00,74.00,78.00,78.00,82.00,89.00,99.00,110.00,116.00,119.00,130.00,144.00,163.00,180.00,187.00,189.00,191.00,199.00,214.00,240.00,267.00,281.00,294.00,298.00,302.00,311.00,327.00,349.00,370.00,395.00,427.00,483.00,550.00,633.00,730.00,811.00,925.00,1059.00,1251.00,1403.00,1466.00,1425.00,1341.00,1288.00,1220.00,1213.00,1319.00,1441.00,1509.00,1598.00
53102e1to,Corporate,"  Tenant-occupied, 1-4 units, equipment",0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,6.00,7.00,7.00,8.00,9.00,11.00,13.00,14.00,15.00,17.00,20.00,23.00,27.00,37.00,53.00,67.00,76.00,82.00,88.00,98.00,112.00,124.00,136.00,152.00,167.00,183.00,195.00,206.00,214.00,221.00,228.00,240.00,252.00,262.00,266.00,272.00,295.00,317.00,333.00,339.00,337.00,320.00,319.00,331.00,328.00,322.00,322.00,324.00
53102e5to,Corporate,"  Tenant-occupied, 5+ units, equipment",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,6.00,6.00,7.00,8.00,9.00,10.00,10.00,10.00,11.00,11.00,12.00,13.00,14.00,15.00,15.00,15.00,16.00,17.00,18.00,19.00,20.00,23.00,25.00,28.00,31.00,36.00,42.00,50.00,55.00,61.00,68.00,77.00,86.00,96.00,100.00,96.00,94.00,97.00,105.00,116.00,122.00,123.00,123.00,125.00,132.00,138.00,146.00,152.00,157.00,160.00,163.00,165.00,172.00,179.00,185.00,186.00,190.00,205.00,219.00,230.00,234.00,232.00,220.00,219.00,227.00,224.00,221.00,220.00,221.00
53104sfto,Sole proprietors and partnerships,"  Tenant-occupied, 1-4 units, new",74.00,77.00,79.00,81.00,87.00,86.00,78.00,63.00,62.00,69.00,68.00,71.00,79.00,81.00,83.00,87.00,97.00,104.00,112.00,121.00,129.00,140.00,169.00,185.00,188.00,195.00,210.00,217.00,220.00,222.00,229.00,237.00,239.00,240.00,239.00,242.00,243.00,245.00,241.00,241.00,248.00,258.00,265.00,280.00,306.00,318.00,341.00,378.00,430.00,493.00,551.00,588.00,655.00,753.00,858.00,968.00,1051.00,1095.00,1104.00,1139.00,1168.00,1222.00,1279.00,1330.00,1381.00,1419.00,1426.00,1438.00,1508.00,1574.00,1639.00,1675.00,1728.00,1782.00,1875.00,1975.00,2088.00,2161.00,2301.00,2517.00,2703.00,2878.00,2930.00,2839.00,2710.00,2653.00,2659.00,2658.00,2785.00,2987.00,3058.00,3195.00
53104asto,Sole proprietors and partnerships,"  Tenant-occupied, 1-4 units, additions and alterations",2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,10.00,10.00,11.00,12.00,12.00,13.00,15.00,18.00,21.00,24.00,27.00,30.00,34.00,39.00,45.00,51.00,58.00,65.00,74.00,87.00,99.00,111.00,129.00,150.00,177.00,211.00,247.00,273.00,287.00,304.00,319.00,340.00,366.00,394.00,420.00,446.00,464.00,479.00,516.00,550.00,596.00,661.00,738.00,797.00,872.00,961.00,1043.00,1096.00,1195.00,1354.00,1513.00,1668.00,1761.00,1842.00,1838.00,1912.00,2019.00,2092.00,2225.00,2389.00,2476.00,2619.00
