dig_code,dig_desc,sig_code_12,sig_code_07,sig_desc_07,sig_desc_12
322210,Paperboard container manufacturing,322,3220,Paper products,Paper products
322220,Paper Bag and Coated and Treated Paper Manufacturing,322,3220,Paper products,Paper products
322230,Stationery product manufacturing,322,3220,Paper products,Paper products
322291,Sanitary paper product manufacturing,322,3220,Paper products,Paper products
322299,All other converted paper product manufacturing,322,3220,Paper products,Paper products
323110,Printing,323,3230,Printing and related support activities,Printing and related support activities
323120,Support activities for printing,323,3230,Printing and related support activities,Printing and related support activities
324110,Petroleum refineries,324,3240,Petroleum and coal products,Petroleum and coal products
324121,Asphalt paving mixture and block manufacturing,324,3240,Petroleum and coal products,Petroleum and coal products
324122,Asphalt shingle and coating materials manufacturing,324,3240,Petroleum and coal products,Petroleum and coal products
324190,Other petroleum and coal products manufacturing,324,3240,Petroleum and coal products,Petroleum and coal products
325110,Petrochemical manufacturing,325,3250,Chemical products,Chemical products
325120,Industrial gas manufacturing,325,3250,Chemical products,Chemical products
325130,Synthetic dye and pigment manufacturing,325,3250,Chemical products,Chemical products
325180,Other Basic Inorganic Chemical Manufacturing,325,3250,Chemical products,Chemical products
325190,Other basic organic chemical manufacturing,325,3250,Chemical products,Chemical products
325211,Plastics material and resin manufacturing,325,3250,Chemical products,Chemical products
325310,Fertilizer manufacturing,325,3250,Chemical products,Chemical products
325320,Pesticide and other agricultural chemical manufacturing,325,3250,Chemical products,Chemical products
325411,Medicinal and botanical manufacturing,325,3250,Chemical products,Chemical products
325412,Pharmaceutical preparation manufacturing,325,3250,Chemical products,Chemical products
325413,In-vitro diagnostic substance manufacturing,325,3250,Chemical products,Chemical products
325414,Biological product (except diagnostic) manufacturing,325,3250,Chemical products,Chemical products
325510,Paint and coating manufacturing,325,3250,Chemical products,Chemical products
325520,Adhesive manufacturing,325,3250,Chemical products,Chemical products
325610,Soap and cleaning compound manufacturing,325,3250,Chemical products,Chemical products
325620,Toilet preparation manufacturing,325,3250,Chemical products,Chemical products
325910,Printing ink manufacturing,325,3250,Chemical products,Chemical products
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326,3260,Plastics and rubber products,Plastics and rubber products
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326,3260,Plastics and rubber products,Plastics and rubber products
326140,Polystyrene foam product manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326150,Urethane and other foam product (except polystyrene) manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326160,Plastics bottle manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326190,Other plastics product manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326210,Tire manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326220,Rubber and plastics hoses and belting manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
326290,Other rubber product manufacturing,326,3260,Plastics and rubber products,Plastics and rubber products
327100,Clay product and refractory manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327200,Glass and glass product manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327310,Cement manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327320,Ready-mix concrete manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327330,"Concrete pipe, brick, and block manufacturing",327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327390,Other concrete product manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327400,Lime and gypsum product manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327910,Abrasive product manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327991,Cut stone and stone product manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327992,Ground or treated mineral and earth manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327993,Mineral wool manufacturing,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
327999,Miscellaneous nonmetallic mineral products,327,3270,Nonmetallic mineral products,Nonmetallic mineral products
331110,Iron and steel mills and ferroalloy manufacturing,331,3310,Primary metals,Primary metals
331200,Steel product manufacturing from purchased steel,331,3310,Primary metals,Primary metals
331314,Secondary smelting and alloying of aluminum,331,3310,Primary metals,Primary metals
331420,"Copper rolling, drawing, extruding and alloying",331,3310,Primary metals,Primary metals
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331,3310,Primary metals,Primary metals
331510,Ferrous metal foundries,331,3310,Primary metals,Primary metals
331520,Nonferrous metal foundries,331,3310,Primary metals,Primary metals
332114,Custom roll forming,332,3320,Fabricated metal products,Fabricated metal products
332200,Cutlery and handtool manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332310,Plate work and fabricated structural product manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332320,Ornamental and architectural metal products manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332410,Power boiler and heat exchanger manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332420,Metal tank (heavy gauge) manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332,3320,Fabricated metal products,Fabricated metal products
332500,Hardware manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332600,Spring and wire product manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332710,Machine shops,332,3320,Fabricated metal products,Fabricated metal products
332720,"Turned product and screw, nut, and bolt manufacturing",332,3320,Fabricated metal products,Fabricated metal products
332800,"Coating, engraving, heat treating and allied activities",332,3320,Fabricated metal products,Fabricated metal products
332913,Plumbing fixture fitting and trim manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332991,Ball and roller bearing manufacturing,332,3320,Fabricated metal products,Fabricated metal products
332996,Fabricated pipe and pipe fitting manufacturing,332,3320,Fabricated metal products,Fabricated metal products
333111,Farm machinery and equipment manufacturing,333,3330,Machinery,Machinery
333112,Lawn and garden equipment manufacturing,333,3330,Machinery,Machinery
333120,Construction machinery manufacturing,333,3330,Machinery,Machinery
333130,Mining and oil and gas field machinery manufacturing,333,3330,Machinery,Machinery
333314,Optical instrument and lens manufacturing,333,3330,Machinery,Machinery
333414,Heating equipment (except warm air furnaces) manufacturing,333,3330,Machinery,Machinery
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333,3330,Machinery,Machinery
333511,Industrial mold manufacturing,333,3330,Machinery,Machinery
333514,"Special tool, die, jig, and fixture manufacturing",333,3330,Machinery,Machinery
333611,Turbine and turbine generator set units manufacturing,333,3330,Machinery,Machinery
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333,3330,Machinery,Machinery
333613,Mechanical power transmission equipment manufacturing,333,3330,Machinery,Machinery
333618,Other engine equipment manufacturing,333,3330,Machinery,Machinery
333912,Air and gas compressor manufacturing,333,3330,Machinery,Machinery
333920,Material handling equipment manufacturing,333,3330,Machinery,Machinery
333991,Power-driven handtool manufacturing,333,3330,Machinery,Machinery
333993,Packaging machinery manufacturing,333,3330,Machinery,Machinery
333994,Industrial process furnace and oven manufacturing,333,3330,Machinery,Machinery
334111,Electronic computer manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334112,Computer storage device manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334210,Telephone apparatus manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334220,Broadcast and wireless communications equipment,334,3340,Computer and electronic products,Computer and electronic products
334290,Other communications equipment manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334300,Audio and video equipment manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334413,Semiconductor and related device manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334418,Printed circuit assembly (electronic assembly) manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334510,Electromedical and electrotherapeutic apparatus manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334511,"Search, detection, and navigation instruments manufacturing",334,3340,Computer and electronic products,Computer and electronic products
334512,Automatic environmental control manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334513,Industrial process variable instruments manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334514,Totalizing fluid meter and counting device manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334515,Electricity and signal testing instruments manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334516,Analytical laboratory instrument manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334517,Irradiation apparatus manufacturing,334,3340,Computer and electronic products,Computer and electronic products
334610,Manufacturing and reproducing magnetic and optical media,334,3340,Computer and electronic products,Computer and electronic products
335110,Electric lamp bulb and part manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335120,Lighting fixture manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335210,Small electrical appliance manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335221,Household cooking appliance manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335222,Household refrigerator and home freezer manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335224,Household laundry equipment manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335228,Other major household appliance manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335311,"Power, distribution, and specialty transformer manufacturing",335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335312,Motor and generator manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335313,Switchgear and switchboard apparatus manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335314,Relay and industrial control manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335911,Storage battery manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335912,Primary battery manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335920,Communication and energy wire and cable manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335930,Wiring device manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335991,Carbon and graphite product manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
335999,All other miscellaneous electrical equipment and component manufacturing,335,3350,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components"
336111,Automobile manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336112,Light truck and utility vehicle manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336120,Heavy duty truck manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336211,Motor vehicle body manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336212,Truck trailer manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336213,Motor home manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336214,Travel trailer and camper manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336310,Motor vehicle gasoline engine and engine parts manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336320,Motor vehicle electrical and electronic equipment manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336350,Motor vehicle transmission and power train parts manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336360,Motor vehicle seating and interior trim manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336370,Motor vehicle metal stamping,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336390,Other Motor Vehicle Parts Manufacturing,3361MV,336M,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts"
336411,Aircraft manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
336412,Aircraft engine and engine parts manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
336413,Other aircraft parts and auxiliary equipment manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
336414,Guided missile and space vehicle manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
336500,Railroad rolling stock manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
336611,Ship building and repairing,3364OT,336O,Other transportation equipment,Other transportation equipment
336612,Boat building,3364OT,336O,Other transportation equipment,Other transportation equipment
336991,"Motorcycle, bicycle, and parts manufacturing",3364OT,336O,Other transportation equipment,Other transportation equipment
336992,"Military armored vehicle, tank, and tank component manufacturing",3364OT,336O,Other transportation equipment,Other transportation equipment
336999,All other transportation equipment manufacturing,3364OT,336O,Other transportation equipment,Other transportation equipment
337110,Wood kitchen cabinet and countertop manufacturing,337,3370,Furniture and related products,Furniture and related products
337121,Upholstered household furniture manufacturing,337,3370,Furniture and related products,Furniture and related products
337122,Nonupholstered wood household furniture manufacturing,337,3370,Furniture and related products,Furniture and related products
337127,Institutional furniture manufacturing,337,3370,Furniture and related products,Furniture and related products
337215,"Showcase, partition, shelving, and locker manufacturing",337,3370,Furniture and related products,Furniture and related products
337900,Other furniture related product manufacturing,337,3370,Furniture and related products,Furniture and related products
339112,Surgical and medical instrument manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339113,Surgical appliance and supplies manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339114,Dental equipment and supplies manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339115,Ophthalmic goods manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339116,Dental laboratories,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339910,Jewelry and silverware manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339920,Sporting and athletic goods manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339930,"Doll, toy, and game manufacturing",339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339940,Office supplies (except paper) manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339950,Sign manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
339990,All other miscellaneous manufacturing,339,338A,Miscellaneous manufacturing,Miscellaneous manufacturing
441000,Motor vehicle and parts dealers,441,44RT,Retail trade,Motor vehicle and parts dealers
445000,Food and beverage stores,445,44RT,Retail trade,Food and beverage stores
452000,General merchandise stores,452,44RT,Retail trade,General merchandise stores
481000,Air transportation,481,4810,Air transportation,Air transportation
482000,Rail transportation,482,4820,Railroad transportation,Rail transportation
483000,Water transportation,483,4830,Water transportation,Water transportation
484000,Truck transportation,484,4840,Truck transportation,Truck transportation
485000,Transit and ground passenger transportation,485,4850,Transit and ground passenger transportation,Transit and ground passenger transportation
486000,Pipeline transportation,486,4860,Pipeline transportation,Pipeline transportation
492000,Couriers and messengers,487OS,487S,Other transportation and support activities ,Other transportation and support activities
493000,Warehousing and storage,493,4930,Warehousing and storage,Warehousing and storage
511110,Newspaper publishers,511,5110,Publishing industries (including software),"Publishing industries, except internet (includes software)"
511120,Periodical Publishers,511,5110,Publishing industries (including software),"Publishing industries, except internet (includes software)"
511130,Book publishers,511,5110,Publishing industries (including software),"Publishing industries, except internet (includes software)"
511200,Software publishers,511,5110,Publishing industries (including software),"Publishing industries, except internet (includes software)"
512100,Motion picture and video industries,512,5120,Motion picture and sound recording industries,Motion picture and sound recording industries
512200,Sound recording industries,512,5120,Motion picture and sound recording industries,Motion picture and sound recording industries
515100,Radio and television broadcasting,513,5130,Broadcasting and telecommunications,Broadcasting and telecommunications
515200,Cable and other subscription programming,513,5130,Broadcasting and telecommunications,Broadcasting and telecommunications
517110,Wired telecommunications carriers,513,5130,Broadcasting and telecommunications,Broadcasting and telecommunications
517210,Wireless telecommunications carriers (except satellite),513,5130,Broadcasting and telecommunications,Broadcasting and telecommunications
518200,"Data processing, hosting, and related services",514,5140,Information and data processing services,"Data processing, internet publishing, and other information services"
519130,Internet publishing and broadcasting and Web search portals,514,5140,Information and data processing services,"Data processing, internet publishing, and other information services"
523900,Other financial investment activities,523,5230,"Securities, commodity contracts, and investments","Securities, commodity contracts, and investments"
524200,"Insurance agencies, brokerages, and related activities",524,5240,Insurance carriers and related activities,Insurance carriers and related activities
525000,"Funds, trusts, and other financial vehicles",525,5250,"Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles"
532100,Automotive equipment rental and leasing,532RL,5320,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets
532400,Commercial and industrial machinery and equipment rental and leasing,532RL,5320,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets
533000,Lessors of nonfinancial intangible assets,532RL,5320,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets
541100,Legal services,5411,5411,Legal services,Legal services
541200,"Accounting, tax preparation, bookkeeping, and payroll services",5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541300,"Architectural, engineering, and related services",5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541400,Specialized design services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541511,Custom computer programming services,5415,5415,Computer systems design and related services,Computer systems design and related services
541512,Computer systems design services,5415,5415,Computer systems design and related services,Computer systems design and related services
541610,Management consulting services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541700,Scientific research and development services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541800,"Advertising, public relations, and related services",5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541920,Photographic services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
541940,Veterinary services,5412OP,5412,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services"
550000,Management of companies and enterprises,55,5500,Management of companies and enterprises,Management of companies and enterprises
561100,Office administrative services,561,5610,Administrative and support services,Administrative and support services
561200,Facilities support services,561,5610,Administrative and support services,Administrative and support services
561300,Employment services,561,5610,Administrative and support services,Administrative and support services
561400,Business support services,561,5610,Administrative and support services,Administrative and support services
561500,Travel arrangement and reservation services,561,5610,Administrative and support services,Administrative and support services
561600,Investigation and security services,561,5610,Administrative and support services,Administrative and support services
561700,Services to buildings and dwellings,561,5610,Administrative and support services,Administrative and support services
561900,Other support services,561,5610,Administrative and support services,Administrative and support services
562000,Waste management and remediation services,562,5620,Waste management and remediation services,Waste management and remediation services
611100,Elementary and secondary schools,61,6100,Educational services ,Educational services
621100,Offices of physicians,621,6210,Ambulatory health care services,Ambulatory health care services
621200,Offices of dentists,621,6210,Ambulatory health care services,Ambulatory health care services
621300,Offices of other health practitioners,621,6210,Ambulatory health care services,Ambulatory health care services
621400,Outpatient care centers,621,6210,Ambulatory health care services,Ambulatory health care services
621500,Medical and diagnostic laboratories,621,6210,Ambulatory health care services,Ambulatory health care services
621600,Home health care services,621,6210,Ambulatory health care services,Ambulatory health care services
621900,Other ambulatory health care services,621,6210,Ambulatory health care services,Ambulatory health care services
622000,Hospitals,622,622H,Hospitals,Hospitals
624100,Individual and family services,624,6240,Social assistance,Social assistance
624400,Child day care services,624,6240,Social assistance,Social assistance
711100,Performing arts companies,711AS,711A,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
711200,Spectator sports,711AS,711A,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
711500,"Independent artists, writers, and performers",711AS,711A,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
712000,"Museums, historical sites, zoos, and parks",711AS,711A,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities"
713100,Amusement parks and arcades,713,7130,"Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries"
713200,Gambling industries (except casino hotels),713,7130,"Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries"
713900,Other amusement and recreation industries,713,7130,"Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries"
721000,Accommodation,721,7210,Accommodation,Accommodation
722110,Full-service restaurants,722,7220,Food services and drinking places,Food services and drinking places
722211,Limited-service restaurants,722,7220,Food services and drinking places,Food services and drinking places
811100,Automotive repair and maintenance,81,8100,"Other services, except government","Other services, except government"
811200,Electronic and precision equipment repair and maintenance,81,8100,"Other services, except government","Other services, except government"
811300,Commercial and industrial machinery and equipment repair and maintenance,81,8100,"Other services, except government","Other services, except government"
811400,Personal and household goods repair and maintenance,81,8100,"Other services, except government","Other services, except government"
812100,Personal care services,81,8100,"Other services, except government","Other services, except government"
812200,Death care services,81,8100,"Other services, except government","Other services, except government"
812300,Dry-cleaning and laundry services,81,8100,"Other services, except government","Other services, except government"
812900,Other personal services,81,8100,"Other services, except government","Other services, except government"
813100,Religious organizations,81,8100,"Other services, except government","Other services, except government"
814000,Private households,81,8100,"Other services, except government","Other services, except government"
1111A0,Oilseed farming,111CA,110C,Farms,Farms
1111B0,Grain farming,111CA,110C,Farms,Farms
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",111CA,110C,Farms,Farms
112A00,"Animal production, except cattle and poultry and eggs",111CA,110C,Farms,Farms
2122A0,"Iron, gold, silver, and other metal ore mining",212,2120,"Mining, except oil and gas","Mining, except oil and gas"
2123A0,Other nonmetallic mineral mining and quarrying,212,2120,"Mining, except oil and gas","Mining, except oil and gas"
21311A,Other support activities for mining,213,2130,Support activities for mining,Support activities for mining
2332A0,Office and commercial structures,23,2300,Construction,Construction
2334A0,Other residential structures,23,2300,Construction,Construction
31151A,Fluid milk and butter manufacturing,311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311FT,311A,"Food, beverage, and tobacco products",Food and beverage and tobacco products
